arm absolute position,arm absolute position filtered,arm position
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-3.076171875,-3.076171875,-13.8680419921875
-3.076171875,-3.076171875,-13.8680419921875
-3.076171875,-3.076171875,-13.8680419921875
-3.076171875,-3.076171875,-13.8680419921875
-3.076171875,-3.076171875,-13.8680419921875
-3.076171875,-3.076171875,-13.8680419921875
-3.076171875,-3.076171875,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-2.548828125,-2.548828125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-1.7578125,-1.7578125,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-2.4609375,-2.4609375,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-3.1640625,-3.1640625,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-2.63671875,-2.63671875,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-1.40625,-1.40625,-13.8680419921875
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.8125,-2.8125,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-2.4609375,-2.4609375,-13.869140625000002
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-1.7578125,-1.7578125,-13.5318603515625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
-0.439453125,-0.439453125,-11.3961181640625
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
4.39453125,4.39453125,-6.324829101562501
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
12.216796875,12.216796875,2.2467041015625
28.564453125,20.654296875,13.957031250000002
28.564453125,20.654296875,13.957031250000002
28.564453125,20.654296875,13.957031250000002
28.564453125,20.654296875,13.957031250000002
